TAZ,BLKGRPCE,STATEFP,COUNTYFP,TRACT,GEOID,NAME,NAMELSAD,PUMA,REGION
291,1,49,57,210703,49057210703,2107.03,Census Tract 2107.03,57001,1
292,2,49,57,210703,49057210703,2107.03,Census Tract 2107.03,57001,1
293,4,49,57,210701,49057210701,2107.01,Census Tract 2107.01,57001,1
294,1,49,57,210701,49057210701,2107.01,Census Tract 2107.01,57001,1
295,1,49,57,210701,49057210701,2107.01,Census Tract 2107.01,57001,1
296,3,49,57,210701,49057210701,2107.01,Census Tract 2107.01,57001,1
297,2,49,57,210701,49057210701,2107.01,Census Tract 2107.01,57001,1
298,5,49,57,210704,49057210704,2107.04,Census Tract 2107.04,57001,1
299,4,49,57,210704,49057210704,2107.04,Census Tract 2107.04,57001,1
300,3,49,57,210704,49057210704,2107.04,Census Tract 2107.04,57001,1
301,2,49,57,210704,49057210704,2107.04,Census Tract 2107.04,57001,1
302,1,49,57,210704,49057210704,2107.04,Census Tract 2107.04,57001,1
303,2,49,57,210402,49057210402,2104.02,Census Tract 2104.02,57001,1
304,2,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
305,2,49,57,210505,49057210505,2105.05,Census Tract 2105.05,57001,1
306,1,49,57,200400,49057200400,2004,Census Tract 2004,57002,1
307,1,49,57,200400,49057200400,2004,Census Tract 2004,57002,1
308,2,49,57,200400,49057200400,2004,Census Tract 2004,57002,1
309,5,49,57,200500,49057200500,2005,Census Tract 2005,57002,1
310,4,49,57,200500,49057200500,2005,Census Tract 2005,57002,1
311,3,49,57,200500,49057200500,2005,Census Tract 2005,57002,1
312,3,49,57,200500,49057200500,2005,Census Tract 2005,57002,1
313,1,49,57,201900,49057201900,2019,Census Tract 2019,57001,1
314,1,49,57,201900,49057201900,2019,Census Tract 2019,57001,1
315,1,49,57,201900,49057201900,2019,Census Tract 2019,57001,1
316,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
317,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
318,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
319,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
320,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
321,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
322,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
323,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
324,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
325,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
326,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
327,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
328,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
329,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
330,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
331,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
332,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
333,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
334,1,49,57,201200,49057201200,2012,Census Tract 2012,57002,1
335,2,49,57,201200,49057201200,2012,Census Tract 2012,57002,1
336,1,49,57,201100,49057201100,2011,Census Tract 2011,57002,1
337,1,49,57,200900,49057200900,2009,Census Tract 2009,57002,1
338,1,49,57,200900,49057200900,2009,Census Tract 2009,57002,1
339,2,49,57,200900,49057200900,2009,Census Tract 2009,57002,1
340,3,49,57,200900,49057200900,2009,Census Tract 2009,57002,1
341,1,49,57,200800,49057200800,2008,Census Tract 2008,57002,1
342,1,49,57,200800,49057200800,2008,Census Tract 2008,57002,1
343,2,49,57,200800,49057200800,2008,Census Tract 2008,57002,1
344,3,49,57,200800,49057200800,2008,Census Tract 2008,57002,1
345,1,49,57,200700,49057200700,2007,Census Tract 2007,57002,1
346,1,49,57,200700,49057200700,2007,Census Tract 2007,57002,1
347,2,49,57,200700,49057200700,2007,Census Tract 2007,57002,1
348,3,49,57,200700,49057200700,2007,Census Tract 2007,57002,1
349,2,49,57,200700,49057200700,2007,Census Tract 2007,57002,1
350,1,49,57,201200,49057201200,2012,Census Tract 2012,57002,1
351,1,49,57,201200,49057201200,2012,Census Tract 2012,57002,1
352,2,49,57,201200,49057201200,2012,Census Tract 2012,57002,1
353,2,49,57,201200,49057201200,2012,Census Tract 2012,57002,1
354,2,49,57,201301,49057201301,2013.01,Census Tract 2013.01,57002,1
355,1,49,57,201301,49057201301,2013.01,Census Tract 2013.01,57002,1
356,3,49,57,201302,49057201302,2013.02,Census Tract 2013.02,57002,1
357,1,49,57,201302,49057201302,2013.02,Census Tract 2013.02,57002,1
358,2,49,57,201302,49057201302,2013.02,Census Tract 2013.02,57002,1
359,1,49,57,201400,49057201400,2014,Census Tract 2014,57002,1
360,2,49,57,201400,49057201400,2014,Census Tract 2014,57002,1
361,3,49,57,201400,49057201400,2014,Census Tract 2014,57002,1
362,2,49,57,201400,49057201400,2014,Census Tract 2014,57002,1
363,2,49,57,210511,49057210511,2105.11,Census Tract 2105.11,57002,1
364,2,49,57,210511,49057210511,2105.11,Census Tract 2105.11,57002,1
365,1,49,57,201800,49057201800,2018,Census Tract 2018,57002,1
366,2,49,57,201800,49057201800,2018,Census Tract 2018,57002,1
367,1,49,57,201800,49057201800,2018,Census Tract 2018,57002,1
368,1,49,57,201800,49057201800,2018,Census Tract 2018,57002,1
369,2,49,57,201800,49057201800,2018,Census Tract 2018,57002,1
370,1,49,57,201700,49057201700,2017,Census Tract 2017,57002,1
371,2,49,57,201700,49057201700,2017,Census Tract 2017,57002,1
372,1,49,57,201700,49057201700,2017,Census Tract 2017,57002,1
373,2,49,57,201600,49057201600,2016,Census Tract 2016,57002,1
374,1,49,57,201500,49057201500,2015,Census Tract 2015,57002,1
375,2,49,57,201500,49057201500,2015,Census Tract 2015,57002,1
376,2,49,57,201500,49057201500,2015,Census Tract 2015,57002,1
377,1,49,57,210800,49057210800,2108,Census Tract 2108,57002,1
378,2,49,57,210800,49057210800,2108,Census Tract 2108,57002,1
379,2,49,57,210800,49057210800,2108,Census Tract 2108,57002,1
380,3,49,57,210800,49057210800,2108,Census Tract 2108,57002,1
381,4,49,57,201600,49057201600,2016,Census Tract 2016,57002,1
382,3,49,57,201600,49057201600,2016,Census Tract 2016,57002,1
383,3,49,57,201500,49057201500,2015,Census Tract 2015,57002,1
384,1,49,57,202000,49057202000,2020,Census Tract 2020,57002,1
385,4,49,57,201500,49057201500,2015,Census Tract 2015,57002,1
386,1,49,57,210511,49057210511,2105.11,Census Tract 2105.11,57002,1
387,2,49,57,210511,49057210511,2105.11,Census Tract 2105.11,57002,1
388,2,49,57,210512,49057210512,2105.12,Census Tract 2105.12,57002,1
389,3,49,57,210512,49057210512,2105.12,Census Tract 2105.12,57002,1
